code;image_key;zone;group;part;applies_to;name_in_crm;cost_rub;price_rub
BODY-FRONT-01-G;front-cover;Кузов;Передняя часть;Облицовка передняя (клюв);Yamaha Gear 4T;Облицовка передняя (клюв) — Yamaha Gear 4T;3300;4300
BODY-FRONT-01-J;front-cover;Кузов;Передняя часть;Облицовка передняя (клюв);Yamaha Jog 4T;Облицовка передняя (клюв) — Yamaha Jog 4T;2800;3800
BODY-FRONT-01-A;front-cover;Кузов;Передняя часть;Облицовка передняя (клюв);Yamaha Jog AY01;Облицовка передняя (клюв) — Yamaha Jog AY01;3450;4500
BODY-FRONT-01-D;front-cover;Кузов;Передняя часть;Облицовка передняя (клюв);Honda Dio AF62/68;Облицовка передняя (клюв) — Honda Dio AF62/68;3450;4500
BODY-FRONT-01-T;front-cover;Кузов;Передняя часть;Облицовка передняя (клюв);Tank T150;Облицовка передняя (клюв) — Tank T150;1800;2450
BODY-FRONT-02-G;leg-shield;Кузов;Передняя часть;Щиток передний внутренний (под колени);Yamaha Gear 4T;Щиток передний внутренний (под колени) — Yamaha Gear 4T;2600;3550
BODY-FRONT-02-J;leg-shield;Кузов;Передняя часть;Щиток передний внутренний (под колени);Yamaha Jog 4T;Щиток передний внутренний (под колени) — Yamaha Jog 4T;2200;3000
BODY-FRONT-02-A;leg-shield;Кузов;Передняя часть;Щиток передний внутренний (под колени);Yamaha Jog AY01;Щиток передний внутренний (под колени) — Yamaha Jog AY01;2750;3750
BODY-FRONT-02-D;leg-shield;Кузов;Передняя часть;Щиток передний внутренний (под колени);Honda Dio AF62/68;Щиток передний внутренний (под колени) — Honda Dio AF62/68;2750;3750
BODY-FRONT-02-T;leg-shield;Кузов;Передняя часть;Щиток передний внутренний (под колени);Tank T150;Щиток передний внутренний (под колени) — Tank T150;1450;2000
BODY-FRONT-03-G;front-lower-cover;Кузов;Передняя часть;Подклювник (нижняя облицовка);Yamaha Gear 4T;Подклювник (нижняя облицовка) — Yamaha Gear 4T;2000;2700
BODY-FRONT-03-J;front-lower-cover;Кузов;Передняя часть;Подклювник (нижняя облицовка);Yamaha Jog 4T;Подклювник (нижняя облицовка) — Yamaha Jog 4T;1700;2300
BODY-FRONT-03-A;front-lower-cover;Кузов;Передняя часть;Подклювник (нижняя облицовка);Yamaha Jog AY01;Подклювник (нижняя облицовка) — Yamaha Jog AY01;2100;2850
BODY-FRONT-03-D;front-lower-cover;Кузов;Передняя часть;Подклювник (нижняя облицовка);Honda Dio AF62/68;Подклювник (нижняя облицовка) — Honda Dio AF62/68;2100;2850
BODY-FRONT-03-T;front-lower-cover;Кузов;Передняя часть;Подклювник (нижняя облицовка);Tank T150;Подклювник (нижняя облицовка) — Tank T150;1100;1500
BODY-FRONT-04-G;front-fender;Кузов;Передняя часть;Крыло переднее;Yamaha Gear 4T;Крыло переднее — Yamaha Gear 4T;1800;2450
BODY-FRONT-04-J;front-fender;Кузов;Передняя часть;Крыло переднее;Yamaha Jog 4T;Крыло переднее — Yamaha Jog 4T;1550;2100
BODY-FRONT-04-A;front-fender;Кузов;Передняя часть;Крыло переднее;Yamaha Jog AY01;Крыло переднее — Yamaha Jog AY01;1900;2600
BODY-FRONT-04-D;front-fender;Кузов;Передняя часть;Крыло переднее;Honda Dio AF62/68;Крыло переднее — Honda Dio AF62/68;1900;2600
BODY-FRONT-04-T;front-fender;Кузов;Передняя часть;Крыло переднее;Tank T150;Крыло переднее — Tank T150;1000;1350
BODY-FRONT-05-G;front-emblem;Кузов;Передняя часть;Эмблема на облицовке;Yamaha Gear 4T;Эмблема на облицовке — Yamaha Gear 4T;500;700
BODY-FRONT-05-J;front-emblem;Кузов;Передняя часть;Эмблема на облицовке;Yamaha Jog 4T;Эмблема на облицовке — Yamaha Jog 4T;400;600
BODY-FRONT-05-A;front-emblem;Кузов;Передняя часть;Эмблема на облицовке;Yamaha Jog AY01;Эмблема на облицовке — Yamaha Jog AY01;500;700
BODY-FRONT-05-D;front-emblem;Кузов;Передняя часть;Эмблема на облицовке;Honda Dio AF62/68;Эмблема на облицовке — Honda Dio AF62/68;500;700
BODY-FRONT-05-T;front-emblem;Кузов;Передняя часть;Эмблема на облицовке;Tank T150;Эмблема на облицовке — Tank T150;300;450
BODY-FRONT-06-G;front-grille;Кузов;Передняя часть;Накладка (решётка) передней облицовки;Yamaha Gear 4T;Накладка (решётка) передней облицовки — Yamaha Gear 4T;700;950
BODY-FRONT-06-J;front-grille;Кузов;Передняя часть;Накладка (решётка) передней облицовки;Yamaha Jog 4T;Накладка (решётка) передней облицовки — Yamaha Jog 4T;600;850
BODY-FRONT-06-A;front-grille;Кузов;Передняя часть;Накладка (решётка) передней облицовки;Yamaha Jog AY01;Накладка (решётка) передней облицовки — Yamaha Jog AY01;750;1050
BODY-FRONT-06-D;front-grille;Кузов;Передняя часть;Накладка (решётка) передней облицовки;Honda Dio AF62/68;Накладка (решётка) передней облицовки — Honda Dio AF62/68;750;1050
BODY-FRONT-06-T;front-grille;Кузов;Передняя часть;Накладка (решётка) передней облицовки;Tank T150;Накладка (решётка) передней облицовки — Tank T150;400;600
BODY-FRONT-07-G;front-cover-bracket;Кузов;Передняя часть;Кронштейн передней облицовки;Yamaha Gear 4T;Кронштейн передней облицовки — Yamaha Gear 4T;600;850
BODY-FRONT-07-J;front-cover-bracket;Кузов;Передняя часть;Кронштейн передней облицовки;Yamaha Jog 4T;Кронштейн передней облицовки — Yamaha Jog 4T;500;700
