code;group;work;price_rub
WORK-01-01;Диагностика и ТО;Диагностика общая;700
WORK-01-02;Диагностика и ТО;Компьютерная диагностика (инжектор);1000
WORK-01-03;Диагностика и ТО;ТО: масло, фильтр, свеча, регулировки (50 см³);1500
WORK-01-04;Диагностика и ТО;ТО: масло, фильтр, свеча, регулировки (125–150 см³);2000
WORK-01-05;Диагностика и ТО;Замена масла в двигателе;400
WORK-01-06;Диагностика и ТО;Замена масла в редукторе;400
WORK-01-07;Диагностика и ТО;Замена свечи зажигания;150
WORK-01-08;Диагностика и ТО;Замена или чистка воздушного фильтра;250
WORK-01-09;Диагностика и ТО;Регулировка клапанов;1200
WORK-01-10;Диагностика и ТО;Мойка скутера;400
WORK-02-01;Двигатель;Замена ЦПГ (50 см³);3000
WORK-02-02;Двигатель;Замена ЦПГ (125–150 см³);3500
WORK-02-03;Двигатель;Замена поршневых колец;2500
WORK-02-04;Двигатель;Ремонт ГБЦ с притиркой клапанов;2500
WORK-02-05;Двигатель;Замена клапанов;2800
WORK-02-06;Двигатель;Замена сальников клапанов;1800
WORK-02-07;Двигатель;Замена распредвала;1800
WORK-02-08;Двигатель;Замена цепи ГРМ;2500
WORK-02-09;Двигатель;Замена натяжителя цепи ГРМ;900
WORK-02-10;Двигатель;Замена коленвала;4000
WORK-02-11;Двигатель;Замена подшипников коленвала;4500
WORK-02-12;Двигатель;Замена сальников коленвала;1600
WORK-02-13;Двигатель;Капремонт двигателя (50 см³);7000
WORK-02-14;Двигатель;Капремонт двигателя (125–150 см³);9000
WORK-02-15;Двигатель;Снятие и установка двигателя;2000
WORK-02-16;Двигатель;Замена прокладки клапанной крышки;700
WORK-02-17;Двигатель;Замена масляного насоса;2000
WORK-02-18;Двигатель;Замена сайлентблоков подвески двигателя;1500
WORK-03-01;Вариатор и редуктор;Замена ремня вариатора;800
WORK-03-02;Вариатор и редуктор;Замена роликов вариатора;1000
WORK-03-03;Вариатор и редуктор;Замена переднего вариатора в сборе;1200
WORK-03-04;Вариатор и редуктор;Замена сцепления (колодок);1300
WORK-03-05;Вариатор и редуктор;Замена пружины или торк-драйвера;1300
WORK-03-06;Вариатор и редуктор;Чистка и смазка вариатора;800
WORK-03-07;Вариатор и редуктор;Ремонт редуктора (подшипники, шестерни);2500
WORK-03-08;Вариатор и редуктор;Замена сальника вала заднего колеса;1200
WORK-04-01;Топливная система и выпуск;Чистка и регулировка карбюратора;1500
WORK-04-02;Топливная система и выпуск;Ремонт карбюратора с ремкомплектом;1800
WORK-04-03;Топливная система и выпуск;Замена карбюратора;800
WORK-04-04;Топливная система и выпуск;Чистка форсунки инжектора;1200
